journey,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
ARTS-LT14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ARTS-LT15,1,1,1,0,1,1,1,2,2,4,4,6,6,5,6,7,6,4,4,2,2,2,2,2
ARTS-LT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-LT9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0
ARTS-Ventus-01,0,0,1,1,1,1,2,4,36,46,43,43,45,46,53,51,48,48,29,12,8,3,3,0
ARTS-Ventus-02,0,0,0,0,0,0,3,5,34,44,49,54,51,58,65,66,67,58,31,15,7,2,1,1
ARTS-Ventus-03,0,0,0,0,0,0,0,4,26,36,36,43,38,40,35,35,35,42,28,8,3,0,0,0
ARTS-Ventus-B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCELIB-CL-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCELIB-CL-03,0,0,0,0,0,0,0,0,0,2,5,4,4,8,10,8,8,7,4,3,2,2,1,1
CCELIB-CL-04,0,0,0,0,0,0,0,2,11,13,14,17,20,19,17,18,24,16,8,4,5,5,2,1
CCELIB-CL-05,0,0,0,0,0,0,0,0,4,6,9,11,12,17,20,16,16,14,9,8,8,6,1,1
CCELIB-CL-06,0,0,0,0,0,0,0,3,12,14,17,19,19,24,25,22,21,20,12,4,5,3,2,2
