journey,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
ARTS-AS7-04,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,0,1,0,0,0,0,0
ARTS-AS7-05,0,0,0,0,0,0,0,4,25,37,40,44,39,33,33,34,33,31,20,6,4,1,0,1
ARTS-AS7-06,0,0,0,0,0,0,0,2,17,24,26,27,25,22,24,24,21,22,8,1,0,0,0,0
ARTS-CTN-02,0,0,0,0,0,0,0,0,1,3,3,14,66,52,6,5,6,6,8,4,0,0,0,0
ARTS-LT10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-LT11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-LT12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-LT13,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0
ARTS-LT14,0,0,0,0,0,0,0,1,2,2,4,2,4,6,7,7,8,4,3,4,4,3,1,0
ARTS-LT15,0,0,0,0,0,0,0,0,0,2,4,5,10,13,5,5,5,3,1,0,1,2,2,1
ARTS-LT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-LT9,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-Ventus-01,1,1,1,1,1,1,2,4,37,44,46,49,49,45,43,41,41,34,23,5,4,3,3,0
ARTS-Ventus-02,0,0,0,0,0,0,0,6,31,51,62,56,63,61,62,59,61,52,45,15,6,3,2,1
ARTS-Ventus-03,0,0,0,0,0,0,0,5,48,67,73,71,66,69,77,75,71,67,44,20,6,2,1,1
ARTS-Ventus-B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCELIB-CL-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCELIB-CL-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCELIB-CL-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCELIB-CL-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCELIB-CL-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
