journey,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
ARTS-AS6-02,0,0,0,0,0,0,0,0,1,1,1,3,7,9,8,5,7,8,11,9,7,5,5,2
ARTS-AS6-03,0,0,0,1,1,1,1,1,1,3,4,4,3,10,11,8,1,1,2,1,0,0,0,0
ARTS-AS7-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS7-02,0,0,0,0,0,0,0,0,0,3,8,12,8,6,5,8,7,3,2,2,2,1,1,0
ARTS-AS7-03,1,1,0,0,0,0,0,0,0,1,1,3,3,3,3,4,3,1,1,0,0,0,0,0
ARTS-AS7-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS7-05,0,0,0,0,0,0,0,0,2,6,6,6,6,6,5,6,5,6,6,3,4,5,6,5
ARTS-AS7-06,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,2,0,0,0,0,0,0,0
ARTS-CTN-02,0,0,1,1,1,1,1,1,4,6,9,42,75,63,39,36,26,21,22,9,5,3,1,1
ARTS-LT10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ARTS-LT11,0,0,0,0,0,0,0,0,0,0,2,3,57,58,56,53,0,1,0,0,0,0,0,0
ARTS-LT12,0,0,0,0,0,0,0,0,0,0,0,2,10,12,12,11,0,0,0,0,0,0,0,0
ARTS-LT13,1,1,1,1,1,1,1,1,1,2,3,3,18,20,19,18,2,3,3,4,3,3,2,1
ARTS-LT14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0
ARTS-LT15,0,0,0,0,0,0,0,0,1,1,2,2,1,0,1,1,2,2,2,1,0,0,0,0
ARTS-LT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ARTS-LT9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-Ventus-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-Ventus-02,0,0,0,0,0,0,0,0,0,1,1,4,7,7,8,12,13,9,6,4,1,1,1,1
ARTS-Ventus-03,0,0,0,0,0,0,0,0,1,4,5,5,6,6,5,3,2,1,0,1,1,0,0,0
ARTS-Ventus-B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCELIB-CL-01,0,0,0,0,0,0,0,0,0,2,5,5,4,5,6,5,6,4,2,2,4,2,0,0
CCELIB-CL-03,0,0,0,0,0,0,0,0,11,26,43,59,74,96,100,100,103,89,64,45,45,27,0,0
CCELIB-CL-04,0,0,0,0,0,0,0,0,1,11,14,25,35,41,38,36,34,24,28,27,19,10,1,1
CCELIB-CL-05,0,0,0,0,0,0,0,0,27,120,221,274,311,357,385,406,383,320,287,253,248,197,1,0
CCELIB-CL-06,25,30,25,18,16,16,16,19,60,134,229,308,406,452,492,536,532,457,395,296,258,247,232,146
